"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_threshold","dropout","epochs","learning_rate","max_len","max_length","test_train_split","weight_decay","accuracy","balanced_accuracy","best_epoch","best_val_loss","epoch","f1_macro","f1_micro","loss","val_balanced_accuracy","val_loss"
"resilient-sweep-616","us19y05i","finished","-","priceluke","","2022-04-20T07:01:07.000Z","9690","ne3vuqk1","128","0.019992019232557053","0.4","13","0.00005","200","33","0.9","","0.7224665391969407","0.932587504386902","3","0.771574854850769","12","0.7205482330999337","0.7224665391969407","0.24989743530750275","0.7224665284156799","1.1835607290267944"
"glowing-sweep-319","i5drdl48","finished","-","priceluke","","2022-04-20T00:33:51.000Z","9685","ne3vuqk1","64","0.0161430038391866","0.4","13","0.0001","40","33","0.75","","0.7678027028256814","0.9460750818252563","2","0.7082659602165222","12","0.7650382552048333","0.7678027028256815","0.23009806871414185","0.7678027153015137","1.207844376564026"
"giddy-sweep-495","wo30z71v","finished","-","priceluke","","2022-04-20T04:24:40.000Z","9668","ne3vuqk1","64","0.02209538569155231","0.1","10","0.00005","70","33","0.7","","0.7535133363379358","0.9060139656066896","1","0.7120868563652039","9","0.7519071082466692","0.7535133363379358","0.30708006024360657","0.7535133361816406","0.8649787902832031"
"good-sweep-668","kuixglhv","finished","-","priceluke","","2022-04-20T08:41:24.000Z","9668","ne3vuqk1","32","0.020503956719822237","0.2","8","0.0001","60","33","0.6","","0.7565965583173996","0.9029112458229064","1","0.6960527896881104","7","0.7553762378084902","0.7565965583173996","0.3270486891269684","0.756596565246582","0.8595606088638306"
"charmed-sweep-592","7o9jpgm2","finished","-","priceluke","","2022-04-20T06:28:45.000Z","9647","ne3vuqk1","16","0.008402702156715179","0.2","21","0.00005","80","33","0.95","","0.6821705426356589","0.8998344540596008","2","0.9485595226287842","20","0.6746311065843278","0.6821705426356589","0.27648648619651794","0.682170569896698","1.3423595428466797"
"morning-sweep-273","aq5n1uro","finished","-","priceluke","","2022-04-19T23:36:53.000Z","9640","ne3vuqk1","128","0.019496181182752828","0.3","12","0.0001","80","33","0.85","","0.7313493268549448","0.9521896839141846","1","0.7571451663970947","11","0.7292506945403722","0.7313493268549448","0.18056513369083405","0.7313493490219116","1.330001711845398"
"dutiful-sweep-1","mk4thk4g","finished","-","priceluke","","2022-04-19T20:22:34.000Z","9612","ne3vuqk1","8","0.005433048555965085","0.2","22","0.00003","100","33","0.95","","0.7025355918112854","0.8922924995422363","7","1.024841547012329","21","0.7007581789909956","0.7025355918112854","0.419878751039505","0.7025355696678162","1.0692857503890991"
"devout-sweep-550","snk300wh","finished","-","priceluke","","2022-04-20T05:42:56.000Z","9578","ne3vuqk1","64","0.02216578792897732","0.3","8","0.0003","150","33","0.9","","0.7147546207775654","0.9497991800308228","2","0.8377693295478821","7","0.7113047163323342","0.7147546207775652","0.19308853149414065","0.7147546410560608","1.4519904851913452"
"fanciful-sweep-555","qmjdhcr0","finished","-","priceluke","","2022-04-20T05:47:11.000Z","9577","ne3vuqk1","128","0.02142458176969337","0.2","9","0.00005","200","33","0.95","","0.7224285239863539","0.9454962611198424","2","0.8539941906929016","8","0.7197977665310388","0.7224285239863539","0.20323067903518677","0.7224285006523132","1.1219993829727173"
"eager-sweep-376","2csf3ttu","finished","-","priceluke","","2022-04-20T01:37:34.000Z","9570","ne3vuqk1","128","0.003646779461076212","0.3","22","0.00005","70","33","0.85","","0.5892533473659591","0.8628230690956116","5","1.4644664525985718","21","0.5862595046634652","0.5892533473659591","0.5107067227363586","0.5892533659934998","1.8387846946716309"
